Country,1990 Percent,2000 Percent,2010 Percent,2020 Percent
 North Macedonia,35.86,37.67,37.75,39.36
 Northern Mariana Islands,73.28,68.97,64.66,51.72
 Norway,33.15,33.1,33.07,33.28
 Oman,0.01,0.01,0.01,0.01
 Pakistan,5.82,5.27,4.78,4.35
 Palau,82.79,87.15,89.32,89.32
 Panama,61.97,59.75,58.22,56.69
 Papua New Guinea,80.38,80.11,79.89,79.18
 Paraguay,64.3,57.87,49.26,40.53
 Peru,59.73,58.83,57.85,56.51
 Philippines,26.09,24.51,22.94,24.11
 Pitcairn Islands,85.11,85.11,85.11,85.11
 Poland,28.48,29.05,29.91,30.41
 Portugal,37.3,36.01,35.69,36.35
 Puerto Rico,36.08,48.37,55.36,55.92
 Qatar,0.0,0.0,0.0,0.0
 Republic of the Congo,65.34,64.99,64.64,64.26
 Réunion,35.02,36.21,37.41,39.0
 Romania,27.55,27.52,28.17,29.96
 Russia,49.39,49.41,49.77,49.78
 Rwanda,12.85,11.63,10.74,11.19
 Saint Kitts and Nevis,42.15,42.15,42.15,42.15
 Saint Lucia,34.65,34.65,34.65,34.65
 Saint Martin,18.38,18.38,18.38,18.38
 Saint Pierre and Miquelon,8.26,8.26,4.13,4.13
 Saint Vincent and the Grenadines,71.98,74.55,74.55,74.55
 Samoa,62.39,60.62,58.84,57.43
 San Marino,16.39,16.39,16.39,16.39
 São Tomé and Príncipe,61.2,60.17,60.17,53.94
 Saudi Arabia,0.45,0.45,0.45,0.45
 Senegal,48.32,45.98,43.98,41.91
 Serbia,26.21,27.88,30.74,30.86
 Seychelles,74.73,74.73,74.73,74.73
 Sierra Leone,43.66,40.9,38.15,35.4
 Singapore,20.95,23.74,25.14,22.35
 Slovakia,39.54,39.52,39.87,40.04
 Slovenia,58.95,61.19,61.88,61.44
 Solomon Islands,90.94,90.69,90.4,90.15
 Somalia,13.2,11.98,10.76,9.53
 South Africa,14.94,14.64,14.34,14.04
 South Korea,69.18,64.61,62.48,60.35
 South Sudan,11.11,11.11,11.11,11.11
 Spain,27.87,34.26,37.17,37.22
 Sri Lanka,37.46,34.53,33.54,33.68
 Sudan,13.61,12.6,11.6,10.6
 Suriname,98.58,98.34,98.08,97.41
 Sweden,68.39,68.63,68.41,68.19
  Switzerland,28.85,29.9,30.88,31.73
 Syria,2.03,2.35,2.68,2.84
 Tajikistan,2.88,2.9,2.9,3.0
 Tanzania,64.79,60.59,56.39,51.64
 Thailand,37.9,37.19,39.29,38.9
 Togo,25.04,23.32,22.78,22.23
 Tonga,12.55,12.55,12.55,12.55
 Trinidad and Tobago,47.19,46.22,45.24,44.46
 Tunisia,4.15,4.3,4.42,4.52
 Turkey,25.7,26.18,27.39,28.87
 Turkmenistan,8.78,8.78,8.78,8.78
 Turks and Caicos Islands,11.6,11.6,11.6,11.6
 Tuvalu,38.46,38.46,38.46,38.46
 Uganda,18.14,16.05,13.95,11.86
 Ukraine,16.01,16.42,16.48,16.73
 United Arab Emirates,2.93,3.7,3.79,3.79
 United Kingdom,11.48,12.21,12.64,13.19
 United States,33.06,33.18,33.75,33.87
 United States Virgin Islands,72.05,57.64,51.87,57.64
 Uruguay,4.56,7.82,9.89,11.6
 Uzbekistan,5.99,6.96,7.87,8.67
 Vanuatu,36.26,36.26,36.26,36.26
 Venezuela,58.98,55.72,53.86,52.41
 Vietnam,30.24,38.0,43.18,47.22
 Wallis and Futuna Islands,42.25,42.25,42.25,42.25
 Western Sahara,2.5,2.52,2.5,2.5
 Yemen,0.99,0.99,0.99,0.99
 Zambia,63.78,63.3,62.81,60.28
 Zimbabwe,48.67,47.48,46.28,45.1
